product_id,department_id,subdepartment_id,supplier_id,product_name,price,product_description
1,1,1,1,Beer -1 (6 x 12oz),15,
2,1,2,8,Coca-Cola (20 x 12 oz),35,
3,1,3,8,Pepsi (20 x 12oz),33,
4,1,1,1,Beer - 2 (6 x 12oz),12,
5,1,2,8,Water 12x8oz,5,
6,2,1,2,"Fresh Vegetables Box - (Onions, Tomatoes, Bell Pepper, Spinach)",10,"Contains 2lb Onions, 2lb Tomatoes, 3 Bell Pepers, 1 Spinach"
7,2,1,2,"Fresh Fruit Boxes - (Avocado, Bananas, Cranberries, Grapes, Strawberries)",20,"Contains 1 x 1lb Avocado, 6 Bananas, 1 x 1lb Cranberries, 1 x 1lb Grapes, 24 Strawberries"
8,2,2,2,"Lays, Cheetos, Ruffles (box of 30 packs)",50,10 packets each
9,2,3,10,Beyond Burger,4.99,2 x 1/4 lb plant based patties
10,2,4,10,Boneless Chicken breasts,8.99,1lb boneless chicken breast
11,2,1,2,Seedless Watermelon,15,Fresh seedless watermelon
12,2,2,10,"Reeses, Hersheys, M&M Mixed bag (90 count)",24.99,"Mixed bag of 30x Reese, 30x M&Ms, 30x Hersheys kisses"
13,2,3,10,Chicken Tenders,6.99,12oz Packet
14,2,4,10,Pork,9.99,1lb Pork
15,2,3,2,Beyond Breakfast Sausage Spicy,5.39,2 x 1/4 lb plant based sausages
16,3,1,3,Pedigree Adult Dry Dog Food - 33lb ,19.98,"This dry food recipe helps maintain a healthy lifestyle with antioxidants, vitamins, and minerals, in the delicious chicken flavor dogs love
Provides whole grains and helps support healthy digestion"
17,3,1,3,Wag Dry Dog Food with Grains (Chicken/Salmon/Beef and Brown Rice) - 30lb,23.39,Salmon and Brown Rice Dog Food
18,3,2,3,Purina Pro Plan SAVOR Adult Dry Cat Food - 16lb,20,
